SerialNum, Co2, Humid, Pm10, Pm5, Temp, Vocs, timeZone, ReportTime, Lat, Long
24:0A:C4:22:41:26,414,45.6,14,14,34.9,3,GMT+09:00,20220719200054 ,37.5634631,127.0489445
24:0A:C4:22:41:26,418,45.6,14,14,34.9,3,GMT+09:00,20220719200055 ,37.5634631,127.0489445
24:0A:C4:22:41:26,414,45.7,14,14,34.8,3,GMT+09:00,20220719200056 ,37.5634631,127.0489445
24:0A:C4:22:41:26,414,45.7,14,14,34.9,3,GMT+09:00,20220719200057 ,37.5634631,127.0489445
24:0A:C4:22:41:26,418,45.6,15,15,34.8,3,GMT+09:00,20220719200058 ,37.5634631,127.0489445
24:0A:C4:22:41:26,414,45.7,15,15,34.9,3,GMT+09:00,20220719200059 ,37.5634631,127.0489445
24:0A:C4:22:41:26,414,45.6,15,15,34.9,3,GMT+09:00,20220719200100 ,37.5634631,127.0489445
24:0A:C4:22:41:26,418,45.6,15,15,34.9,3,GMT+09:00,20220719200101 ,37.5634631,127.0489445
24:0A:C4:22:41:26,414,45.7,14,14,34.9,3,GMT+09:00,20220719200102 ,37.5634631,127.0489445
24:0A:C4:22:41:26,414,45.7,14,14,34.9,3,GMT+09:00,20220719200103 ,37.5634631,127.0489445
24:0A:C4:22:41:26,414,45.7,14,14,34.8,3,GMT+09:00,20220719200104 ,37.5634631,127.0489445
24:0A:C4:22:41:26,418,45.7,14,14,34.8,3,GMT+09:00,20220719200105 ,37.5634631,127.0489445
24:0A:C4:22:41:26,418,45.7,14,14,34.9,3,GMT+09:00,20220719200106 ,37.5634528,127.0488711
24:0A:C4:22:41:26,414,45.7,14,14,34.9,3,GMT+09:00,20220719200107 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,14,14,34.8,3,GMT+09:00,20220719200108 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.6,14,14,34.9,3,GMT+09:00,20220719200109 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,14,14,34.9,3,GMT+09:00,20220719200110 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.6,14,14,34.9,3,GMT+09:00,20220719200111 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.6,14,14,34.9,3,GMT+09:00,20220719200112 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,14,14,34.9,3,GMT+09:00,20220719200113 ,37.5634528,127.0488711
24:0A:C4:22:41:26,414,45.6,14,14,34.9,3,GMT+09:00,20220719200114 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,14,14,34.9,3,GMT+09:00,20220719200115 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.6,14,14,34.9,3,GMT+09:00,20220719200116 ,37.5634528,127.0488711
24:0A:C4:22:41:26,414,45.7,14,14,34.9,3,GMT+09:00,20220719200117 ,37.5634528,127.0488711
24:0A:C4:22:41:26,422,45.7,14,14,34.9,4,GMT+09:00,20220719200118 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,14,14,34.9,3,GMT+09:00,20220719200119 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.6,14,14,34.9,3,GMT+09:00,20220719200120 ,37.5634528,127.0488711
24:0A:C4:22:41:26,422,45.6,14,14,34.9,4,GMT+09:00,20220719200121 ,37.5634528,127.0488711
24:0A:C4:22:41:26,422,45.7,15,15,34.9,4,GMT+09:00,20220719200122 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,14,14,34.9,3,GMT+09:00,20220719200123 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,14,14,34.9,3,GMT+09:00,20220719200124 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.6,14,14,34.9,3,GMT+09:00,20220719200125 ,37.5634528,127.0488711
